Unnamed: 0,InvoiceNo,date,sales
97,536378,2018-01-12,13.2
98,536378,2018-01-12,13.2
99,536378,2018-01-12,13.2
100,536378,2018-01-12,17.7
101,536378,2018-01-12,60.0
102,536378,2018-01-12,36.48
103,536378,2018-01-12,19.5
104,536378,2018-01-12,19.5
105,536380,2018-01-12,34.8
106,536381,2018-01-12,97.75
107,536381,2018-01-12,24.75
108,536381,2018-01-12,19.5
109,536381,2018-01-12,4.2
110,536381,2018-01-12,7.5
111,536381,2018-01-12,30.0
112,536381,2018-01-12,30.0
113,536381,2018-01-12,1.25
114,536381,2018-01-12,0.85
115,536381,2018-01-12,2.55
116,536381,2018-01-12,16.5
117,536381,2018-01-12,5.07
118,536381,2018-01-12,1.95
119,536381,2018-01-12,4.2
120,536381,2018-01-12,2.95
121,536381,2018-01-12,2.95
122,536381,2018-01-12,11.8
123,536381,2018-01-12,2.95
124,536381,2018-01-12,5.1
125,536381,2018-01-12,3.75
126,536381,2018-01-12,5.1
127,536381,2018-01-12,0.85
128,536381,2018-01-12,0.85
129,536381,2018-01-12,1.45
130,536381,2018-01-12,4.95
131,536381,2018-01-12,5.9
132,536381,2018-01-12,11.9
133,536381,2018-01-12,11.9
134,536381,2018-01-12,5.8
135,536381,2018-01-12,2.95
136,536381,2018-01-12,1.95
137,536381,2018-01-12,3.3
138,536381,2018-01-12,11.85
139,536381,2018-01-12,38.16
140,536381,2018-01-12,67.5
141,C536379,2018-01-12,-27.5
142,536382,2018-01-12,10.2
143,536382,2018-01-12,30.0
144,536382,2018-01-12,19.8
145,536382,2018-01-12,19.5
146,536382,2018-01-12,21.0
147,536382,2018-01-12,92.5
148,536382,2018-01-12,23.6
149,536382,2018-01-12,15.0
150,536382,2018-01-12,71.4
151,536382,2018-01-12,29.9
152,536382,2018-01-12,29.9
153,536382,2018-01-12,67.8
154,C536383,2018-01-12,-4.65
155,536384,2018-01-12,19.35
156,536384,2018-01-12,31.2
157,536384,2018-01-12,19.8
158,536384,2018-01-12,17.7
159,536384,2018-01-12,35.4
160,536384,2018-01-12,58.0
161,536384,2018-01-12,102.0
162,536384,2018-01-12,17.7
163,536384,2018-01-12,25.5
164,536384,2018-01-12,15.8
165,536384,2018-01-12,17.85
166,536384,2018-01-12,41.7
167,536384,2018-01-12,87.6
168,536385,2018-01-12,19.95
169,536385,2018-01-12,17.4
170,536385,2018-01-12,25.5
171,536385,2018-01-12,19.5
172,536385,2018-01-12,15.0
173,536385,2018-01-12,17.0
174,536385,2018-01-12,16.5
175,536386,2018-01-12,178.2
176,536386,2018-01-12,165.0
177,536386,2018-01-12,165.0
178,536387,2018-01-12,733.44
179,536387,2018-01-12,647.04
180,536387,2018-01-12,647.04
181,536387,2018-01-12,626.4
182,536387,2018-01-12,540.0
183,536388,2018-01-12,17.85
184,536388,2018-01-12,17.85
185,536388,2018-01-12,15.9
186,536388,2018-01-12,14.85
187,536388,2018-01-12,12.75
188,536388,2018-01-12,17.7
189,536388,2018-01-12,19.8
190,536388,2018-01-12,5.04
191,536388,2018-01-12,10.2
192,536388,2018-01-12,17.4
193,536388,2018-01-12,10.2
194,536388,2018-01-12,27.0
195,536388,2018-01-12,19.8
196,536388,2018-01-12,19.8
197,536389,2018-01-12,51.0
198,536389,2018-01-12,39.6
199,536389,2018-01-12,15.0
200,536389,2018-01-12,32.7
201,536389,2018-01-12,25.4
202,536389,2018-01-12,35.7
203,536389,2018-01-12,17.85
204,536389,2018-01-12,17.0
205,536389,2018-01-12,15.0
206,536389,2018-01-12,15.0
207,536389,2018-01-12,17.0
208,536389,2018-01-12,17.0
209,536389,2018-01-12,39.6
210,536389,2018-01-12,20.4
211,536390,2018-01-12,17.0
212,536390,2018-01-12,45.0
213,536390,2018-01-12,17.4
214,536390,2018-01-12,34.56
215,536390,2018-01-12,34.56
216,536390,2018-01-12,68.0
217,536390,2018-01-12,92.16
218,536390,2018-01-12,102.0
219,536390,2018-01-12,28.8
220,536390,2018-01-12,163.2
221,536390,2018-01-12,72.0
222,536390,2018-01-12,72.5
223,536390,2018-01-12,51.0
224,536390,2018-01-12,61.44
225,536390,2018-01-12,61.44
226,536390,2018-01-12,31.2
227,536390,2018-01-12,46.08
228,536390,2018-01-12,198.0
229,536390,2018-01-12,102.0
230,536390,2018-01-12,81.36
231,536390,2018-01-12,90.0
232,536390,2018-01-12,71.04
233,536390,2018-01-12,120.0
234,536390,2018-01-12,165.0
235,C536391,2018-01-12,-19.8
236,C536391,2018-01-12,-6.96
237,C536391,2018-01-12,-6.96
238,C536391,2018-01-12,-6.96
239,C536391,2018-01-12,-41.4
240,C536391,2018-01-12,-19.8
241,C536391,2018-01-12,-39.6
242,536392,2018-01-12,11.7
243,536392,2018-01-12,15.0
244,536392,2018-01-12,15.0
245,536392,2018-01-12,15.0
246,536392,2018-01-12,165.0
247,536392,2018-01-12,15.0
248,536392,2018-01-12,15.0
249,536392,2018-01-12,23.8
250,536392,2018-01-12,27.04
251,536392,2018-01-12,15.6
252,536393,2018-01-12,79.6
253,536394,2018-01-12,10.08
254,536394,2018-01-12,177.6
255,536394,2018-01-12,177.6
256,536394,2018-01-12,177.6
257,536394,2018-01-12,177.6
258,536394,2018-01-12,59.4
259,536394,2018-01-12,45.0
260,536394,2018-01-12,60.0
261,536394,2018-01-12,25.2
262,536394,2018-01-12,81.6
263,536394,2018-01-12,33.0
264,536395,2018-01-12,31.6
265,536395,2018-01-12,54.08
266,536395,2018-01-12,13.2
267,536395,2018-01-12,13.2
268,536395,2018-01-12,13.2
269,536395,2018-01-12,27.6
270,536395,2018-01-12,16.8
271,536395,2018-01-12,15.0
272,536395,2018-01-12,30.0
273,536395,2018-01-12,30.0
274,536395,2018-01-12,30.0
275,536395,2018-01-12,31.6
276,536395,2018-01-12,100.8
277,536395,2018-01-12,100.8
278,536396,2018-01-12,15.3
279,536396,2018-01-12,20.34
280,536396,2018-01-12,22.0
281,536396,2018-01-12,29.7
282,536396,2018-01-12,29.7
283,536396,2018-01-12,6.36
284,536396,2018-01-12,6.36
285,536396,2018-01-12,6.36
286,536396,2018-01-12,6.36
287,536396,2018-01-12,9.9
288,536396,2018-01-12,27.8
289,536396,2018-01-12,12.6
290,536396,2018-01-12,30.6
291,536396,2018-01-12,20.34
292,536396,2018-01-12,20.34
293,536396,2018-01-12,15.3
294,536396,2018-01-12,71.5
295,536396,2018-01-12,25.5
296,536397,2018-01-12,55.8
297,536397,2018-01-12,223.2
298,536398,2018-01-12,6.96
299,536398,2018-01-12,17.7
300,536398,2018-01-12,27.0
301,536398,2018-01-12,20.4
302,536398,2018-01-12,51.0
303,536398,2018-01-12,15.9
304,536398,2018-01-12,25.2
305,536398,2018-01-12,25.2
306,536398,2018-01-12,25.2
307,536398,2018-01-12,15.0
308,536398,2018-01-12,19.8
309,536398,2018-01-12,20.1
310,536398,2018-01-12,15.8
311,536398,2018-01-12,37.2
312,536398,2018-01-12,44.55
313,536398,2018-01-12,15.0
314,536398,2018-01-12,44.55
315,536399,2018-01-12,11.1
316,536399,2018-01-12,11.1
317,536400,2018-01-12,17.4
318,536401,2018-01-12,2.55
319,536401,2018-01-12,1.25
320,536401,2018-01-12,2.5
321,536401,2018-01-12,2.95
322,536401,2018-01-12,3.35
323,536401,2018-01-12,1.45
324,536401,2018-01-12,1.25
325,536401,2018-01-12,2.5
326,536401,2018-01-12,1.65
327,536401,2018-01-12,5.8
328,536401,2018-01-12,1.25
329,536401,2018-01-12,4.95
330,536401,2018-01-12,7.5
331,536401,2018-01-12,2.5
332,536401,2018-01-12,19.9
333,536401,2018-01-12,9.95
334,536401,2018-01-12,5.95
335,536401,2018-01-12,4.25
336,536401,2018-01-12,14.85
337,536401,2018-01-12,2.55
338,536401,2018-01-12,2.95
339,536401,2018-01-12,3.38
340,536401,2018-01-12,7.95
341,536401,2018-01-12,0.55
342,536401,2018-01-12,0.55
343,536401,2018-01-12,1.1
344,536401,2018-01-12,11.8
345,536401,2018-01-12,4.2
346,536401,2018-01-12,2.1
347,536401,2018-01-12,1.25
348,536401,2018-01-12,0.85
349,536401,2018-01-12,1.65
350,536401,2018-01-12,2.95
351,536401,2018-01-12,2.95
352,536401,2018-01-12,2.5
353,536401,2018-01-12,3.75
354,536401,2018-01-12,1.25
355,536401,2018-01-12,1.25
356,536401,2018-01-12,3.3
357,536401,2018-01-12,5.9
358,536401,2018-01-12,5.9
359,536401,2018-01-12,5.95
360,536401,2018-01-12,1.25
361,536401,2018-01-12,5.1
362,536401,2018-01-12,7.65
363,536401,2018-01-12,1.65
364,536401,2018-01-12,11.8
365,536401,2018-01-12,8.85
366,536401,2018-01-12,5.95
367,536401,2018-01-12,7.95
368,536401,2018-01-12,1.65
369,536401,2018-01-12,3.3
370,536401,2018-01-12,1.65
371,536401,2018-01-12,1.65
372,536401,2018-01-12,12.75
373,536401,2018-01-12,8.85
374,536401,2018-01-12,8.85
375,536401,2018-01-12,22.95
376,536401,2018-01-12,16.95
377,536401,2018-01-12,11.8
378,536401,2018-01-12,10.65
379,536401,2018-01-12,4.25
380,536401,2018-01-12,13.9
381,536401,2018-01-12,11.9
382,536402,2018-01-12,102.0
383,536402,2018-01-12,102.0
384,536402,2018-01-12,153.0
385,536403,2018-01-12,177.6
386,536403,2018-01-12,15.0
387,536404,2018-01-12,30.0
388,536404,2018-01-12,15.0
389,536404,2018-01-12,15.0
390,536404,2018-01-12,15.0
391,536404,2018-01-12,15.0
392,536404,2018-01-12,19.8
393,536404,2018-01-12,30.6
394,536404,2018-01-12,15.0
395,536404,2018-01-12,15.0
396,536404,2018-01-12,15.0
397,536404,2018-01-12,15.0
398,536404,2018-01-12,15.0
399,536404,2018-01-12,15.0
400,536404,2018-01-12,10.2
401,536404,2018-01-12,10.2
402,536404,2018-01-12,10.2
403,536404,2018-01-12,15.0
404,536404,2018-01-12,15.0
405,536404,2018-01-12,25.2
406,536404,2018-01-12,13.2
407,536404,2018-01-12,13.2
408,536404,2018-01-12,13.2
409,536404,2018-01-12,13.2
410,536404,2018-01-12,13.2
411,536404,2018-01-12,16.5
412,536404,2018-01-12,16.5
413,536404,2018-01-12,16.5
414,536404,2018-01-12,39.6
415,536405,2018-01-12,326.4
416,536406,2018-01-12,20.4
417,536406,2018-01-12,27.12
418,536406,2018-01-12,22.0
419,536406,2018-01-12,29.7
420,536406,2018-01-12,6.36
421,536406,2018-01-12,6.36
422,536406,2018-01-12,6.36
423,536406,2018-01-12,6.36
424,536406,2018-01-12,19.8
425,536406,2018-01-12,27.8
426,536406,2018-01-12,12.6
427,536406,2018-01-12,15.3
428,536406,2018-01-12,20.34
429,536406,2018-01-12,20.34
430,536406,2018-01-12,15.3
431,536406,2018-01-12,71.5
432,536406,2018-01-12,25.5
433,536407,2018-01-12,11.1
434,536407,2018-01-12,11.1
435,536408,2018-01-12,10.08
436,536408,2018-01-12,10.08
437,536408,2018-01-12,10.2
438,536408,2018-01-12,19.8
439,536408,2018-01-12,15.0
440,536408,2018-01-12,15.0
441,536408,2018-01-12,10.2
442,536408,2018-01-12,23.4
443,536408,2018-01-12,15.8
444,536408,2018-01-12,15.0
445,536408,2018-01-12,15.0
446,536408,2018-01-12,12.6
447,536408,2018-01-12,25.2
448,536408,2018-01-12,20.4
449,536408,2018-01-12,15.0
450,536408,2018-01-12,11.4
451,536408,2018-01-12,17.7
452,536408,2018-01-12,19.8
453,536408,2018-01-12,9.9
454,536408,2018-01-12,15.9
455,536408,2018-01-12,15.9
456,536408,2018-01-12,19.8
457,536408,2018-01-12,10.2
458,536408,2018-01-12,13.52
459,536408,2018-01-12,17.85
460,536408,2018-01-12,17.85
461,536408,2018-01-12,23.6
462,536408,2018-01-12,30.6
463,536408,2018-01-12,5.04
464,536408,2018-01-12,10.5
465,536408,2018-01-12,17.0
466,536408,2018-01-12,17.85
467,536408,2018-01-12,17.85
468,536408,2018-01-12,22.5
469,536408,2018-01-12,13.2
470,536408,2018-01-12,17.4
471,536408,2018-01-12,14.85
472,536408,2018-01-12,19.8
473,536408,2018-01-12,6.3
474,536408,2018-01-12,5.04
475,536408,2018-01-12,23.4
476,536408,2018-01-12,15.3
477,536408,2018-01-12,30.6
478,536408,2018-01-12,16.5
479,536408,2018-01-12,23.4
480,536408,2018-01-12,15.0
481,536408,2018-01-12,15.0
482,536408,2018-01-12,19.8
483,536409,2018-01-12,19.05
484,536409,2018-01-12,3.75
485,536409,2018-01-12,4.95
486,536409,2018-01-12,6.75
487,536409,2018-01-12,1.25
488,536409,2018-01-12,1.65
489,536409,2018-01-12,2.1
490,536409,2018-01-12,3.75
491,536409,2018-01-12,2.1
492,536409,2018-01-12,2.1
493,536409,2018-01-12,2.95
494,536409,2018-01-12,1.25
495,536409,2018-01-12,1.25
496,536409,2018-01-12,2.95
497,536409,2018-01-12,2.95
498,536409,2018-01-12,6.35
499,536409,2018-01-12,7.95
500,536409,2018-01-12,4.25
501,536409,2018-01-12,3.75
502,536409,2018-01-12,10.5
503,536409,2018-01-12,0.42
504,536409,2018-01-12,1.25
505,536409,2018-01-12,6.75
506,536409,2018-01-12,5.1
507,536409,2018-01-12,5.1
508,536409,2018-01-12,2.95
509,536409,2018-01-12,8.85
510,536409,2018-01-12,3.9
511,536409,2018-01-12,15.0
512,536409,2018-01-12,5.88
513,536409,2018-01-12,2.88
514,536409,2018-01-12,5.95
515,536409,2018-01-12,1.25
516,536409,2018-01-12,1.65
517,536409,2018-01-12,1.25
518,536409,2018-01-12,7.8
519,536409,2018-01-12,5.95
520,536409,2018-01-12,1.65
521,536409,2018-01-12,2.95
522,536409,2018-01-12,1.95
523,536409,2018-01-12,2.5
524,536409,2018-01-12,4.95
525,536409,2018-01-12,12.7
526,536409,2018-01-12,2.1
527,536409,2018-01-12,2.1
528,536409,2018-01-12,1.65
529,536409,2018-01-12,4.35
530,536409,2018-01-12,4.35
531,536409,2018-01-12,2.52
532,536409,2018-01-12,1.7
533,536409,2018-01-12,3.9
534,536409,2018-01-12,1.95
535,536409,2018-01-12,1.25
536,536409,2018-01-12,0.85
537,536409,2018-01-12,2.95
538,536409,2018-01-12,3.48
539,536409,2018-01-12,4.95
540,536409,2018-01-12,4.95
541,536412,2018-01-12,4.95
542,536412,2018-01-12,4.95
543,536412,2018-01-12,2.95
544,536412,2018-01-12,6.6
545,536412,2018-01-12,4.95
546,536412,2018-01-12,4.95
547,536412,2018-01-12,2.95
548,536412,2018-01-12,2.95
549,536412,2018-01-12,1.95
550,536412,2018-01-12,1.95
551,536412,2018-01-12,1.69
552,536412,2018-01-12,1.69
553,536412,2018-01-12,1.69
554,536412,2018-01-12,1.69
555,536412,2018-01-12,2.95
556,536412,2018-01-12,2.95
557,536412,2018-01-12,12.75
558,536412,2018-01-12,8.25
559,536412,2018-01-12,1.65
560,536412,2018-01-12,6.5
561,536412,2018-01-12,2.95
562,536412,2018-01-12,1.65
563,536412,2018-01-12,3.75
564,536412,2018-01-12,34.8
565,536412,2018-01-12,3.3
566,536412,2018-01-12,13.95
567,536412,2018-01-12,7.5
568,536412,2018-01-12,4.25
569,536412,2018-01-12,3.75
570,536412,2018-01-12,3.3
571,536412,2018-01-12,5.9
572,536412,2018-01-12,1.25
573,536412,2018-01-12,9.9
574,536412,2018-01-12,2.1
575,536412,2018-01-12,4.2
576,536412,2018-01-12,4.95
577,536412,2018-01-12,11.55
578,536412,2018-01-12,1.65
579,536412,2018-01-12,8.25
580,536412,2018-01-12,8.25
581,536412,2018-01-12,15.0
582,536412,2018-01-12,8.25
583,536412,2018-01-12,1.65
584,536412,2018-01-12,5.9
585,536412,2018-01-12,14.75
586,536412,2018-01-12,5.9
587,536412,2018-01-12,2.95
588,536412,2018-01-12,5.9
589,536412,2018-01-12,3.75
590,536412,2018-01-12,7.5
591,536412,2018-01-12,0.95
592,536412,2018-01-12,5.9
593,536412,2018-01-12,11.25
594,536412,2018-01-12,2.1
595,536412,2018-01-12,2.1
596,536412,2018-01-12,11.25
597,536412,2018-01-12,7.5
598,536412,2018-01-12,1.65
599,536412,2018-01-12,2.95
600,536412,2018-01-12,7.5
601,536412,2018-01-12,3.3
602,536412,2018-01-12,39.8
603,536412,2018-01-12,14.7
604,536412,2018-01-12,3.3
605,536412,2018-01-12,14.7
606,536412,2018-01-12,4.95
607,536412,2018-01-12,4.95
608,536412,2018-01-12,4.95
609,536412,2018-01-12,13.5
610,536412,2018-01-12,4.25
611,536412,2018-01-12,5.9
612,536412,2018-01-12,4.95
613,536412,2018-01-12,13.5
614,536412,2018-01-12,1.65
615,536412,2018-01-12,2.95
616,536412,2018-01-12,4.95
617,536412,2018-01-12,5.9
618,536412,2018-01-12,4.95
619,536412,2018-01-12,7.5
620,536412,2018-01-12,2.95
621,536412,2018-01-12,7.95
622,536414,2018-01-12,0.0
623,536415,2018-01-12,5.5
624,536415,2018-01-12,14.75
625,536415,2018-01-12,4.95
626,536415,2018-01-12,4.95
627,536415,2018-01-12,4.95
628,536415,2018-01-12,4.25
629,536415,2018-01-12,2.5
630,536415,2018-01-12,14.75
631,536415,2018-01-12,4.35
632,536415,2018-01-12,2.95
633,536415,2018-01-12,5.95
634,536415,2018-01-12,8.25
635,536415,2018-01-12,5.8
636,536415,2018-01-12,5.1
637,536415,2018-01-12,3.75
638,536415,2018-01-12,10.5
639,536415,2018-01-12,2.55
640,536415,2018-01-12,8.4
641,536415,2018-01-12,8.85
642,536415,2018-01-12,4.35
643,536415,2018-01-12,10.2
644,536415,2018-01-12,4.25
645,536415,2018-01-12,3.4
646,536415,2018-01-12,5.1
647,536415,2018-01-12,3.48
648,536415,2018-01-12,7.5
649,536415,2018-01-12,3.48
650,536415,2018-01-12,1.25
651,536415,2018-01-12,4.2
652,536415,2018-01-12,5.85
653,536415,2018-01-12,25.5
654,536415,2018-01-12,25.5
655,536415,2018-01-12,17.7
656,536415,2018-01-12,8.5
657,536415,2018-01-12,1.1
658,536415,2018-01-12,1.1
659,536415,2018-01-12,1.1
660,536415,2018-01-12,1.65
661,536415,2018-01-12,6.3
662,536415,2018-01-12,6.3
663,536415,2018-01-12,6.3
664,536415,2018-01-12,6.3
665,536415,2018-01-12,0.84
666,536415,2018-01-12,3.4
667,536415,2018-01-12,2.55
668,536415,2018-01-12,2.55
669,536415,2018-01-12,9.9
670,536415,2018-01-12,4.95
671,536415,2018-01-12,4.95
672,536415,2018-01-12,4.95
673,536415,2018-01-12,1.26
674,536415,2018-01-12,1.26
675,536415,2018-01-12,1.26
676,536415,2018-01-12,1.26
677,536415,2018-01-12,8.85
678,536415,2018-01-12,13.95
679,536415,2018-01-12,2.5
680,536415,2018-01-12,7.5
681,536415,2018-01-12,35.4
682,536416,2018-01-12,15.0
683,536416,2018-01-12,90.0
684,536416,2018-01-12,23.4
685,536416,2018-01-12,39.8
686,536416,2018-01-12,39.8
687,536416,2018-01-12,17.7
688,536420,2018-01-12,15.0
689,536420,2018-01-12,15.0
690,536420,2018-01-12,15.0
691,536420,2018-01-12,17.7
692,536420,2018-01-12,15.0
693,536420,2018-01-12,20.4
694,536420,2018-01-12,20.4
695,536420,2018-01-12,15.0
696,536420,2018-01-12,14.85
697,536420,2018-01-12,15.3
698,536420,2018-01-12,17.7
699,536420,2018-01-12,17.0
700,536420,2018-01-12,17.7
701,536420,2018-01-12,17.4
702,536423,2018-01-12,15.0
703,536423,2018-01-12,17.7
704,536423,2018-01-12,25.2
705,536423,2018-01-12,37.2
706,536423,2018-01-12,30.0
707,536423,2018-01-12,39.6
708,536423,2018-01-12,30.0
709,536423,2018-01-12,79.2
710,536423,2018-01-12,30.0
711,536425,2018-01-12,37.2
712,536425,2018-01-12,15.0
713,536425,2018-01-12,39.6
714,536425,2018-01-12,30.6
715,536425,2018-01-12,15.3
716,536425,2018-01-12,17.4
717,536425,2018-01-12,17.4
718,536425,2018-01-12,17.4
719,536425,2018-01-12,17.4
720,536425,2018-01-12,30.0
721,536425,2018-01-12,12.75
722,536425,2018-01-12,15.0
723,536425,2018-01-12,20.1
724,536425,2018-01-12,20.1
725,536425,2018-01-12,19.9
726,536425,2018-01-12,19.9
727,536425,2018-01-12,17.4
728,536437,2018-01-12,212.0
729,536437,2018-01-12,244.08
730,536437,2018-01-12,144.0
731,536437,2018-01-12,60.0
732,536437,2018-01-12,122.04
733,536437,2018-01-12,60.0
734,536446,2018-01-12,13.44
735,536446,2018-01-12,2.9
736,536446,2018-01-12,4.2
737,536446,2018-01-12,7.5
738,536446,2018-01-12,15.0
739,536446,2018-01-12,60.0
740,536446,2018-01-12,1.95
741,536446,2018-01-12,4.25
742,536446,2018-01-12,15.3
743,536446,2018-01-12,30.0
744,536446,2018-01-12,15.0
745,536446,2018-01-12,3.3
746,536446,2018-01-12,3.3
747,536446,2018-01-12,3.3
748,536446,2018-01-12,8.5
749,536446,2018-01-12,4.2
750,536446,2018-01-12,5.9
751,536446,2018-01-12,2.5
752,536446,2018-01-12,30.0
753,536446,2018-01-12,7.5
754,536446,2018-01-12,30.6
755,536446,2018-01-12,30.0
756,536446,2018-01-12,5.85
757,536446,2018-01-12,9.9
758,536446,2018-01-12,9.9
759,536446,2018-01-12,29.5
760,536446,2018-01-12,19.9
761,536446,2018-01-12,10.2
762,536446,2018-01-12,10.2
763,536446,2018-01-12,10.08
764,536446,2018-01-12,6.72
765,536446,2018-01-12,30.0
766,536460,2018-01-12,15.0
767,536460,2018-01-12,30.6
768,536460,2018-01-12,13.2
769,536460,2018-01-12,40.56
770,536460,2018-01-12,20.28
771,536460,2018-01-12,11.9
772,536460,2018-01-12,23.8
773,536460,2018-01-12,11.9
774,536460,2018-01-12,13.2
775,536460,2018-01-12,29.7
776,536460,2018-01-12,27.6
777,536460,2018-01-12,11.9
778,536460,2018-01-12,15.9
779,536460,2018-01-12,30.0
780,536463,2018-01-12,17.4
781,536464,2018-01-12,8.5
782,536464,2018-01-12,3.3
783,536464,2018-01-12,8.5
784,536464,2018-01-12,4.95
785,536464,2018-01-12,1.65
786,536464,2018-01-12,4.25
787,536464,2018-01-12,12.75
788,536464,2018-01-12,4.25
789,536464,2018-01-12,1.95
790,536464,2018-01-12,1.95
791,536464,2018-01-12,13.52
792,536464,2018-01-12,2.95
793,536464,2018-01-12,1.65
794,536464,2018-01-12,3.25
795,536464,2018-01-12,5.9
796,536464,2018-01-12,0.29
797,536464,2018-01-12,0.29
798,536464,2018-01-12,1.25
799,536464,2018-01-12,1.25
800,536464,2018-01-12,1.25
801,536464,2018-01-12,1.65
802,536464,2018-01-12,3.9
803,536464,2018-01-12,11.7
804,536464,2018-01-12,4.25
805,536464,2018-01-12,0.55
806,536464,2018-01-12,3.75
807,536464,2018-01-12,0.42
808,536464,2018-01-12,2.95
809,536464,2018-01-12,2.95
810,536464,2018-01-12,1.25
811,536464,2018-01-12,3.3
812,536464,2018-01-12,1.1
813,536464,2018-01-12,5.1
814,536464,2018-01-12,2.9
815,536464,2018-01-12,5.8
816,536464,2018-01-12,2.9
817,536464,2018-01-12,1.7
818,536464,2018-01-12,2.95
819,536464,2018-01-12,0.85
820,536464,2018-01-12,0.85
821,536464,2018-01-12,1.7
822,536464,2018-01-12,2.95
823,536464,2018-01-12,1.25
824,536464,2018-01-12,1.25
825,536464,2018-01-12,1.95
826,536464,2018-01-12,1.65
827,536464,2018-01-12,1.65
828,536464,2018-01-12,1.65
829,536464,2018-01-12,2.1
830,536464,2018-01-12,2.5
831,536464,2018-01-12,2.1
832,536464,2018-01-12,6.3
833,536464,2018-01-12,2.98
834,536464,2018-01-12,2.1
835,536464,2018-01-12,5.1
836,536464,2018-01-12,2.55
837,536464,2018-01-12,0.55
838,536464,2018-01-12,1.1
839,536464,2018-01-12,3.75
840,536464,2018-01-12,1.25
841,536464,2018-01-12,1.25
842,536464,2018-01-12,1.65
843,536464,2018-01-12,1.45
844,536464,2018-01-12,2.55
845,536464,2018-01-12,4.25
846,536464,2018-01-12,8.25
847,536464,2018-01-12,9.9
848,536464,2018-01-12,2.95
849,536464,2018-01-12,1.65
850,536464,2018-01-12,1.65
851,536464,2018-01-12,1.65
852,536464,2018-01-12,2.95
853,536464,2018-01-12,2.95
854,536464,2018-01-12,7.95
855,536464,2018-01-12,1.95
856,536464,2018-01-12,4.25
857,536464,2018-01-12,0.85
858,536464,2018-01-12,1.7
859,536464,2018-01-12,2.1
860,536464,2018-01-12,0.85
861,536464,2018-01-12,11.6
862,536464,2018-01-12,2.1
863,536464,2018-01-12,2.95
864,536464,2018-01-12,5.1
865,536464,2018-01-12,1.95
866,536466,2018-01-12,25.5
867,536466,2018-01-12,17.4
868,536477,2018-01-12,88.8
869,536477,2018-01-12,81.36
870,536477,2018-01-12,1627.2
